gene_name,log2FoldChange,lfcSE,padj,pvalue,expression
NTNG2,1.1790561947089,0.12264514222333,3.13383422395905e-19,1.14026044397252e-21,Up-regulated
CKAP2L,1.09730257490456,0.115127989159264,3.38289629384511e-19,1.24784075759687e-21,Up-regulated
CEACAM1,1.17751691709516,0.12321041092608,5.54743284799181e-19,2.1193491146093e-21,Up-regulated
IFITM3,1.27109787195421,0.133806377195386,1.69803038816558e-18,7.02404940037929e-21,Up-regulated
MMP8,2.39625908332059,0.23921258446995,1.72222288867458e-18,7.16950035333781e-21,Up-regulated
CCL2,2.51724602318794,0.255313128695677,2.47009781883997e-18,1.06733425275269e-20,Up-regulated
HESX1,1.9365522252441,0.203677649446621,3.08780792947259e-18,1.38306199085825e-20,Up-regulated
OLAH,3.25024747249559,0.320834961501081,3.36538614400244e-18,1.51625923650845e-20,Up-regulated
CEP55,1.26427506419878,0.136495992857606,5.22322621243742e-18,2.40834849337764e-20,Up-regulated
EXOC3L1,1.58879404831111,0.170418214100821,8.00828170238233e-18,3.8823940381471e-20,Up-regulated
RRM2,1.45507991956538,0.156162024655748,1.07294544458092e-17,5.45603811993774e-20,Up-regulated
LIF,1.60187085031906,0.174024221694185,1.29489017978399e-17,6.72111939235509e-20,Up-regulated
ANKRD22,1.37561398660022,0.148440220829483,1.54019077171959e-17,8.07551150266635e-20,Up-regulated
CXCL10,1.64694790784055,0.177899569232048,2.79414510794381e-17,1.48710889973297e-19,Up-regulated
KLHDC7B,1.32192268346349,0.145876708458073,4.16022722899892e-17,2.2799369332133e-19,Up-regulated
HES4,1.77100611173514,0.191994324940587,4.18259778030525e-17,2.30321688381672e-19,Up-regulated
ZNF684,1.02343260037043,0.114733608597925,5.45530872972871e-17,3.04717671576773e-19,Up-regulated
ANXA10,1.5650395426989,0.18399910483377,8.54924283962702e-17,5.02313630509782e-19,Up-regulated
ANLN,1.11904296372346,0.125551185398012,8.54924283962702e-17,5.00450654980797e-19,Up-regulated
ETV7,1.54298850976076,0.169486642535166,1.00543046564162e-16,5.96042195208315e-19,Up-regulated
HELZ2,1.02351440519534,0.115939556962748,1.13179090467602e-16,6.8287958362968e-19,Up-regulated
SLC26A8,1.20326438422838,0.135612465686441,1.77476944772155e-16,1.0942089128072e-18,Up-regulated
SERPING1,1.71389502435127,0.190621037218553,2.37710326998359e-16,1.50314798123007e-18,Up-regulated
AGRN,1.33191804852047,0.151779290827453,2.51906331697524e-16,1.59955277280664e-18,Up-regulated
ESCO2,1.04327173658128,0.120920393045328,3.27233176776318e-16,2.17270275985752e-18,Up-regulated
BATF2,1.49688121074033,0.170248615534513,6.30002123616176e-16,4.38216158072062e-18,Up-regulated
PLSCR2,1.05427922070531,0.12498304471226,7.43734114694009e-16,5.25163995199437e-18,Up-regulated
HJURP,1.22740834384193,0.142607169089004,7.84591686572457e-16,5.56081476756049e-18,Up-regulated
MT2A,1.20394961634382,0.140373513548089,9.78820712421442e-16,7.01478721027118e-18,Up-regulated
SUCNR1,1.17134701299353,0.136045759122422,1.00499559715046e-15,7.28180927481629e-18,Up-regulated
CCDC194,1.50492884830482,0.176322503207608,1.32580023581796e-15,9.67609910211245e-18,Up-regulated
DRC1,1.39387148228176,0.164357903945061,1.38990713351081e-15,1.01870417439304e-17,Up-regulated
E2F8,1.42028953740023,0.167432978626313,3.10925306311699e-15,2.40849554870737e-17,Up-regulated
DTL,1.08948069512519,0.129754431805034,3.25659236779236e-15,2.53978853577103e-17,Up-regulated
TCN2,1.07960398836198,0.127699971318992,3.54583351088283e-15,2.78405012974412e-17,Up-regulated
ABCA13,1.82362191310308,0.210731795270964,4.03427138612476e-15,3.21006997578563e-17,Up-regulated
PCLAF,1.26108576454978,0.151053951622229,5.8494166411303e-15,4.85473531631987e-17,Up-regulated
CDCA2,1.20065704774385,0.144791856982572,7.23391952182486e-15,6.17534363985681e-17,Up-regulated
