gene_name,log2FoldChange,lfcSE,padj,pvalue,expression
SLC30A10,1.2709352503766,0.615235738254795,0.0135592951177986,0.00377512440084781,Up-regulated
MT1M,1.33188681178623,0.674164571707043,0.0349149095698855,0.0116987117299951,Up-regulated
PLD5,-1.2142987494739,0.322707712898622,6.98690410326306e-05,8.65769352311908e-06,Down-regulated
CCDC85A,-1.53880003483008,0.406053189241728,5.87191719887768e-05,7.12755507594179e-06,Down-regulated
PPARGC1A,-1.07454773731146,0.273778241564336,2.98101164001673e-05,3.26580766169299e-06,Down-regulated
NLRP4,-1.16120411800224,0.285425909935801,2.09941926828821e-05,2.19987100963856e-06,Down-regulated
ADAM29,-1.12272183205472,0.261931460180727,1.11216166708993e-05,1.07717402334999e-06,Down-regulated
SPMIP5,-1.07528583514789,0.252902497493418,7.55913213663915e-06,6.89312228616433e-07,Down-regulated
TENM4,-1.02017666523974,0.232638172011524,4.91838000191887e-06,4.19605692317365e-07,Down-regulated
ENSG00000261793,-1.49130104765377,0.31454308117079,2.05857182929263e-06,1.56098691171001e-07,Down-regulated
SGCD,-1.01854412744194,0.206586942266202,4.91073077323883e-07,3.07680818326446e-08,Down-regulated
HLA-DQA2,-1.20799286276296,0.233096601984889,1.11457154457693e-07,5.720570608726e-09,Down-regulated
PRSS33,-1.0361378556692,0.193627853818244,4.302898145207e-08,1.97266237357332e-09,Down-regulated
CHL1,-1.10352791852528,0.198796110801001,2.07700842356355e-08,8.66833889161791e-10,Down-regulated
