gene_name,log2FoldChange,padj,direction,source
GPR84,1.00874978888966,1.41216158474818e-11,Up-regulated,ETV6
BCL2A1,1.13036471039581,1.10150849410764e-19,Up-regulated,ETV6
IFITM3,1.27109787195421,1.69803038816558e-18,Up-regulated,ETV6
FAM83A,1.10925579952117,1.93164841787585e-05,Up-regulated,ETV6
ANKRD22,1.37561398660022,1.54019077171959e-17,Up-regulated,ETV6
IFIT5,1.48323870432885,3.245506627407e-28,Up-regulated,ETV6
MX1,1.98602947755859,9.43392198961203e-24,Up-regulated,ETV6
AIM2,1.04789342621529,5.88469772941137e-21,Up-regulated,ETV6
PLSCR2,1.05427922070531,7.43734114694009e-16,Up-regulated,ETV6
KIAA1958,1.26792862853539,9.65347260697036e-26,Up-regulated,ETV6
E2F7,1.07105706988647,1.02521219466356e-11,Up-regulated,ETV6
BATF2,1.49688121074033,6.30002123616176e-16,Up-regulated,ETV6
VWA3B,1.17723765123746,1.18705705860472e-07,Up-regulated,ETV6
OVOL1,2.05648194618793,8.63512238594789e-10,Up-regulated,ETV6
PARP14,1.16918191501088,2.11185522456346e-28,Up-regulated,ETV6
LIPM,1.39438755628519,1.83161742617742e-14,Up-regulated,ETV6
EXOC3L1,1.58879404831111,8.00828170238233e-18,Up-regulated,ETV6
PXT1,1.05862544727474,3.8199939042498e-11,Up-regulated,ETV6
APOBEC3B,1.20441624998683,5.53730671972909e-22,Up-regulated,ETV6
DDX60L,1.25543007463543,1.63414161435386e-29,Up-regulated,ETV6
MX2,1.04944312694007,2.6707807213447e-21,Up-regulated,ETV6
USP18,2.83055409344908,4.18492258404903e-31,Up-regulated,ETV6
TCN2,1.07960398836198,3.54583351088283e-15,Up-regulated,ETV6
IRF7,1.28036769374498,3.99077490447081e-22,Up-regulated,ETV6
IFIT1,2.57491657084068,1.16648415138003e-26,Up-regulated,ETV6
IFITM1,1.11142974525403,1.05333068438069e-30,Up-regulated,ETV6
FFAR3,1.49450615868982,6.83481578174332e-20,Up-regulated,ETV6
GLDN,1.66545642068588,3.35892797585846e-10,Up-regulated,ETV6
ISG15,2.52154457782164,4.08198056695273e-26,Up-regulated,ETV6
PLSCR1,1.50374689810645,9.23543789090532e-32,Up-regulated,ETV6
SUCNR1,1.17134701299353,1.00499559715046e-15,Up-regulated,ETV6
NOS1AP,1.12593450386037,4.6169842541843e-09,Up-regulated,ETV6
LINC01531,1.17853117626402,3.06147156010023e-16,Up-regulated,ETV6
MIR3945HG,1.12389641776643,4.45552858009998e-14,Up-regulated,ETV6
LINC01485,1.21389074530099,1.3283582198748e-11,Up-regulated,ETV6
DLGAP1-AS5,2.41295852594592,2.63704862573998e-07,Up-regulated,ETV6
