,BCL11A_(+),BHLHE40_(+),E2F1_(+),E2F7_(+),E2F8_(+),EBF1_(+),EP300_(+),ESRRA_(+),ETV6_(+),GABPA_(+),GATA1_(+),GATA2_(+),HIC1_(+),IRF1_(+),IRF2_(+),IRF4_(+),MAZ_(+),MYBL2_(+),MYC_(+),NFIL3_(+),PAX5_(+),RFX5_(+),SOX6_(+),SREBF2_(+),STAT3_(+),TBX21_(+),VEZF1_(+),ZHX2_(+),ZNF148_(+),ZNF549_(+)
SRR3362721,0.039969372667513985,0.0,0.0024525292643019945,0.00636291030409168,0.009833829012125416,0.030689327593267413,0.1964478364872331,0.04271857519875441,0.2044216793398372,0.0019071125454784821,0.06065000733645098,0.013780921310107065,0.0,0.15668985978734448,0.18472773800456968,0.032826955501617336,0.04232097460719897,0.007964170231609457,0.053993391844045086,0.19450597180279425,0.04781909403711886,0.2694560554006441,0.06304635676756662,0.0069361331737569365,0.19971848408279705,0.07144897515295613,0.08043359363594745,0.041291025345826175,0.055206503842481255,0.010070597060596716
SRR3362723,0.020211735682997653,0.0,0.003516970118016643,0.008563533149239614,0.009890237034895423,0.01263126179379352,0.16515872287994002,0.03695293710297744,0.17298892316893805,0.0047370214839304245,0.059545048287758175,0.0063618773719261385,0.0,0.15205033417581565,0.1490675399847677,0.01996678541093546,0.04332012071934195,0.010249272406402143,0.04726694300778087,0.2331448153635058,0.01259131173121307,0.13575208424981586,0.0605825532419107,0.0,0.2552413997294273,0.07031548484691909,0.10718063185961252,0.037582582050691656,0.07101477974006493,0.009797619016124809
SRR3362725,0.02448817539964974,0.0,0.0017944458986608434,0.005414646912520611,0.008015649900159016,0.01362651365509619,0.3297334969099004,0.03301916060359486,0.25691473091162603,0.0,0.05029663605779451,0.013799799284504472,0.0,0.1930679414597415,0.22574086824067024,0.01925490490544179,0.03900238216329551,0.002309856479706227,0.029706362832958258,0.23844080857199915,0.01960857197029992,0.2025496687807299,0.060083387664857164,0.0,0.28109752092574897,0.03627254296366576,0.13998368473009434,0.0383021307497476,0.1014520151392451,0.005959563387980872
SRR3362727,0.022922279899861862,0.0,0.0017908498146955913,0.010158912004607376,0.008346534440834136,0.010138345065631096,0.16773642728751328,0.030823370027362188,0.2631390448369933,0.0019071125454784821,0.059116300617349585,0.011628832228802672,0.0,0.20574667067028046,0.24879457730388424,0.014944614721493818,0.04189276913056626,0.007714173277465234,0.03616695316794133,0.2380102647123367,0.014558862658200855,0.18177348659272927,0.06190640259254145,0.0,0.23842290944021155,0.08762263459150918,0.10109403621972744,0.057951345223967825,0.07486482530925502,0.008667689795432056
SRR3362729,0.026895354854572957,0.0,0.0029451927675415448,0.007355435548785824,0.009498053953590322,0.01795346971186726,0.1930012977133396,0.03876261574918735,0.2269060334835873,0.004244863407677912,0.06114459438231337,0.008551722402025343,0.0,0.16724638199911576,0.19515960396039606,0.020776183793894017,0.041714350181969305,0.011364852064183995,0.05122252358495824,0.1960337570684747,0.02555422689523456,0.1548883963355958,0.06430487642458951,0.0,0.2337026397402303,0.06657390570621212,0.10361343773681186,0.0702390230078464,0.08182660580773185,0.012186487181806087
SRR3362731,0.02712355883181557,0.0,0.0054157024516698,0.01867085280479714,0.01845474884320268,0.023249633543919325,0.20163691761846345,0.035326508914813294,0.21797289661138472,0.0003075987976578197,0.06052484000950373,0.010873713252906396,0.0,0.17001526543495885,0.20459661843107388,0.07763642019673257,0.04139319607449478,0.021092002366253245,0.0626668655145059,0.1736177605796472,0.031475287433581835,0.14527211026198097,0.06305261093662021,0.0,0.20456672584055427,0.08344641841431974,0.09291373984458176,0.06276678651764997,0.07864234618602083,0.017387310087479367
SRR3362733,0.02422019173862565,0.027376394119917786,0.003459432774572608,0.012528773690499527,0.019308797291345683,0.02174273431962134,0.2993748025628177,0.04029227483582205,0.20348064614220648,0.0001640526920841705,0.05712917681024431,0.0,0.0,0.1737798555915041,0.15430671744097488,0.07805696604329987,0.0417500339716887,0.019864920708947797,0.047335355918020135,0.3108541853495113,0.016183309214776287,0.14933227813074876,0.06499283502048335,0.0,0.217507843658391,0.0584381786537919,0.10036331269346893,0.04544226784037975,0.07965630122635843,0.013786109781004523
SRR3362734,0.0239532802321748,0.0,0.0026251412946341,0.004798247820243172,0.006976126283984961,0.011326539031590135,0.25799152609582343,0.04769559334087125,0.19408250508825248,0.0056393112903933605,0.06408080262771472,0.015291159261899619,0.0,0.18882366003220125,0.19919311500380807,0.014227858322126903,0.042071188079163234,0.006399052396597717,0.04929376028701707,0.20799216972084508,0.015948318725197384,0.14061368767905705,0.07039406351259378,0.0,0.261643168004815,0.06541594007202572,0.09995991552203423,0.03990727784764165,0.06273904229226238,0.01176078775231975
SRR3362735,0.03356258930497772,0.0,0.0039700766976384205,0.008132189239461445,0.012110623270985508,0.020241231797722317,0.27792420804706325,0.04411481509225053,0.1458672481701293,0.0,0.0846167682929762,0.02004840881004617,0.009354926784405582,0.15315501343265478,0.1494470068545316,0.020183762688294832,0.048958159495005885,0.00808342140484512,0.06738010598708731,0.2189683804640913,0.028218027157983737,0.1764437519851678,0.09008128347605207,0.0,0.23727805694100884,0.05820472988116029,0.0966550929614481,0.06282213641757736,0.06467618061960698,0.020454083528472788
SRR3362736,0.034982039486518235,0.0,0.003826233339028332,0.008856952184569458,0.010497147263729438,0.02104308183527537,0.14597524996156486,0.026040854564399196,0.16233564715272794,0.014129038105749184,0.06764740550462463,0.019028998192586192,0.0,0.16233434550524745,0.17407408987052553,0.016870592801425322,0.044319266831484926,0.007639738158864345,0.07323535159689865,0.20278653756931794,0.033266519428272294,0.19873971436159354,0.06788538820776427,0.0,0.22022679768804684,0.05240050445837565,0.10484390526056056,0.028615898262455943,0.0747851787847449,0.0207230443081122
